icpsr,name,party,congress,state,degree
14852,"ROBERTS, Charles Patrick (Pat)",Rep,109,KS,54
14858,"SCHUMER, Charles Ellis (Chuck)",Dem,109,NY,44
14871,"WYDEN, Ronald Lee",Dem,109,OR,44
94240,"JEFFORDS, James Merrill",Ind,109,VT,42
49700,"SESSIONS, Jefferson Beauregard III (Jeff)",Rep,109,AL,54
49702,"LANDRIEU, Mary L.",Dem,109,LA,43
49703,"COLLINS, Susan Margaret",Rep,109,ME,57
49704,"HAGEL, Charles Timothy (Chuck)",Rep,109,NE,54
49705,"SMITH, Gordon Harold",Rep,109,OR,55
49706,"ENZI, Michael B.",Rep,109,WY,53
29740,"SUNUNU, John E.",Rep,109,NH,52
15406,"BUNNING, James Paul David",Rep,109,KY,53
40500,"SALAZAR, Kenneth Lee",Dem,109,CO,45
40501,"MARTINEZ, Melquiades R. (Mel)",Rep,109,FL,54
40502,"OBAMA, Barack",Dem,109,IL,44
10808,"KENNEDY, Edward Moore (Ted)",Dem,109,MA,43
29754,"THUNE, John",Rep,109,SD,54
14910,"SPECTER, Arlen",Rep,109,PA,55
14912,"BINGAMAN, Jesse Francis, Jr. (Jeff)",Dem,109,NM,44
15425,"JOHNSON, Timothy Peter (Tim)",Dem,109,SD,46
14914,"LAUTENBERG, Frank Raleigh",Dem,109,NJ,43
15429,"KYL, Jon Llewellyn",Rep,109,AZ,53
14920,"KERRY, John Forbes",Dem,109,MA,43
14921,"McCONNELL, Addison Mitchell (Mitch)",Rep,109,KY,54
14922,"ROCKEFELLER, John Davison IV (Jay)",Dem,109,WV,34
14009,"COCHRAN, William Thad",Rep,109,MS,54
14440,"MIKULSKI, Barbara Ann",Dem,109,MD,43
29305,"LINCOLN, Blanche Lambert",Dem,109,AR,46
40300,"MURKOWSKI, Lisa",Rep,109,AK,54
15501,"BOND, Christopher Samuel (Kit)",Rep,109,MO,54
15502,"CONRAD, Kent",Dem,109,ND,43
49300,"FEINSTEIN, Dianne",Dem,109,CA,44
49306,"HUTCHISON, Kathryn Ann Bailey (Kay)",Rep,109,TX,54
49307,"BENNETT, Robert",Rep,109,UT,54
49308,"MURRAY, Patty",Dem,109,WA,44
49309,"FEINGOLD, Russell Dana",Dem,109,WI,43
29345,"CRAPO, Michael Dean",Rep,109,ID,54
15011,"BOXER, Barbara",Dem,109,CA,43
40101,"DAYTON, Mark",Dem,109,MN,43
15015,"CARPER, Thomas Richard",Dem,109,DE,47
40104,"CORZINE, Jon Stevens",Dem,109,NJ,0
40105,"CLINTON, Hillary Rodham",Dem,109,NY,44
14506,"LUGAR, Richard Green",Rep,109,IN,55
15020,"DeWINE, Michael",Rep,109,OH,56
15021,"DURBIN, Richard Joseph",Dem,109,IL,43
29369,"TALENT, James Matthes",Rep,109,MO,54
29373,"MENENDEZ, Robert",Dem,109,NJ,42
15039,"McCAIN, John Sidney, III",Rep,109,AZ,52
4812,"INOUYE, Daniel Ken",Dem,109,HI,42
15054,"REID, Harry",Dem,109,NV,44
14031,"LOTT, Chester Trent",Rep,109,MS,53
29909,"ISAKSON, Johnny",Rep,109,GA,54
29732,"STABENOW, Deborah Ann",Dem,109,MI,43
29918,"VITTER, David",Rep,109,LA,54
49901,"BAYH, Evan",Dem,109,IN,44
13039,"SARBANES, Paul Spyros",Dem,109,MD,44
29936,"DeMINT, James W.",Rep,109,SC,53
49905,"CHAFEE, Lincoln Davenport",Rep,109,RI,33
15633,"THOMAS, Craig Lyle",Rep,109,WY,53
14101,"BIDEN, Joseph Robinette, Jr.",Dem,109,DE,43
14103,"DOMENICI, Pete Vichi",Rep,109,NM,54
29148,"ALLEN, George",Rep,109,VA,54
14651,"NELSON, Clarence William (Bill)",Dem,109,FL,46
14661,"SNOWE, Olympia Jean",Rep,109,ME,50
14400,"AKAKA, Daniel Kahikina",Dem,109,HI,44
12109,"STEVENS, Theodore Fulton (Ted)",Rep,109,AK,54
29523,"BROWNBACK, Sam Dale",Rep,109,KS,54
15701,"BURNS, Conrad",Rep,109,MT,54
1366,"BYRD, Robert Carlyle",Dem,109,WV,44
15703,"KOHL, Herbert H.",Dem,109,WI,45
15704,"LIEBERMAN, Joseph I.",Dem,109,CT,43
14503,"HATCH, Orrin Grant",Rep,109,UT,54
49502,"FRIST, William H.",Rep,109,TN,54
29537,"ENSIGN, John Eric",Rep,109,NV,54
29548,"BURR, Richard M.",Rep,109,NC,54
40301,"PRYOR, Mark",Dem,109,AR,47
40302,"COLEMAN, Norm",Rep,109,MN,55
40303,"DOLE, Elizabeth Hanford",Rep,109,NC,54
40304,"ALEXANDER, Lamar",Rep,109,TN,54
40305,"CORNYN, John",Rep,109,TX,54
29555,"COBURN, Thomas Allen",Rep,109,OK,53
14709,"LEVIN, Carl",Dem,109,MI,44
14712,"WARNER, John William",Rep,109,VA,54
14203,"BAUCUS, Max Sieben",Dem,109,MT,43
29566,"GRAHAM, Lindsey O.",Rep,109,SC,54
15424,"INHOFE, James Mountain",Rep,109,OK,53
14213,"DODD, Christopher John",Dem,109,CT,43
39310,"CANTWELL, Maria E.",Dem,109,WA,44
14226,"GRASSLEY, Charles Ernest",Rep,109,IA,54
14230,"HARKIN, Thomas Richard (Tom)",Dem,109,IA,43
49903,"VOINOVICH, George Victor",Rep,109,OH,55
29512,"CHAMBLISS, Saxby",Rep,109,GA,54
29108,"ALLARD, A. Wayne",Rep,109,CO,54
94659,"SHELBY, Richard C.",Rep,109,AL,54
29141,"SANTORUM, Richard John (Rick)",Rep,109,PA,54
29142,"REED, John F. (Jack)",Dem,109,RI,44
14809,"CRAIG, Larry Edwin",Rep,109,ID,54
14812,"DORGAN, Byron Leslie",Dem,109,ND,44
14307,"LEAHY, Patrick Joseph",Dem,109,VT,44
14826,"GREGG, Judd Alan",Rep,109,NH,53
40103,"NELSON, Earl Benjamin (Ben)",Dem,109,NE,64
